product_id,category_id,product_name,price,cost,sku,stock_quantity,reorder_level,supplier_id,weight_kg,dimensions,is_active,created_date
PROD-259326,7057353147476780904,Air Purifier HEPA,1974.8,1740.4,SKU-4762163,331,78,SUP-3935,31.31,790x161x77cm,True,2021-08-28
PROD-228912,4379099704885112519,Air Purifier HEPA,3436.81,1144.5,SKU-2459565,6991,7,SUP-5253,5.1,70x5x348cm,False,2020-01-27
PROD-891116,8115431231807281188,4K Ultra HD Smart TV,3429.08,2996.72,SKU-8215028,2169,63,SUP-1166,38.97,9x233x4cm,False,2020-10-26
PROD-337276,1063327638482089554,Portable Phone Charger,3860.04,1865.61,SKU-9700296,608,72,SUP-3030,29.33,72x090x1cm,True,2024-12-14
PROD-837717,771268525231824445,Air Purifier HEPA,794.52,1919.8,SKU-2241492,2148,98,SUP-9083,48.37,1x3x005cm,True,2021-04-23
PROD-574304,2618847906658270850,Memory Foam Pillow,904.44,2694.35,SKU-7760909,3938,86,SUP-7507,24.04,379x69x346cm,True,2021-12-25
PROD-172980,4929121164440802685,4K Ultra HD Smart TV,3343.65,2486.28,SKU-8307436,8391,86,SUP-1248,34.81,448x7x3cm,False,2021-05-31
PROD-296370,8104170869617319910,Wireless Mouse Ergonomic,884.59,1666.18,SKU-2737152,9882,69,SUP-8532,9.66,508x0x072cm,False,2020-07-08
PROD-494424,7451192129835562866,4K Ultra HD Smart TV,545.2,2971.0,SKU-4538365,1079,99,SUP-4662,47.13,78x770x4cm,True,2022-02-14
PROD-569881,2646885432239695504,Organic Cotton T-Shirt,2252.45,2271.96,SKU-7519443,8342,33,SUP-6014,0.28,68x06x682cm,False,2021-03-05
PROD-115459,4127672565117278409,Standing Desk Converter,3024.88,1571.95,SKU-4331948,6416,41,SUP-3023,32.07,847x26x41cm,False,2023-01-21
PROD-541597,1914609925981593213,Wireless Bluetooth Headphones,4200.48,2188.66,SKU-1379421,6562,90,SUP-8000,19.3,1x839x8cm,True,2022-04-12
PROD-901237,5781132902799638047,Air Purifier HEPA,1777.15,2447.08,SKU-2204547,2253,32,SUP-6771,30.4,61x064x426cm,False,2021-01-27
PROD-903091,8224955355757777983,Fitness Tracker Watch,2750.83,678.42,SKU-1393917,8616,49,SUP-5870,33.82,00x50x2cm,True,2020-08-05
PROD-169526,3619356886955186830,Standing Desk Converter,3621.63,475.17,SKU-1959959,7275,62,SUP-3524,20.68,20x20x28cm,False,2024-02-19
PROD-982337,1144477061529581597,LED Desk Lamp,3819.69,2001.06,SKU-2918943,2637,28,SUP-8248,38.88,32x0x44cm,False,2022-08-06
PROD-566071,6167141380131104963,Stainless Steel Water Bottle,87.11,118.89,SKU-9652267,9852,22,SUP-7053,19.64,694x897x27cm,True,2024-12-10
PROD-199027,7028629094437652065,Wireless Mouse Ergonomic,4044.69,2052.48,SKU-6967892,5238,77,SUP-3511,25.94,459x787x30cm,False,2024-12-11
PROD-553742,4457381153337965694,Yoga Mat Premium,673.91,799.54,SKU-4280546,2286,5,SUP-9563,21.63,818x8x9cm,True,2024-10-31
PROD-916564,4749218257767842900,Coffee Machine Deluxe,3125.96,1423.64,SKU-5542066,500,17,SUP-9214,16.48,522x80x1cm,True,2024-11-20
PROD-808591,7484488716379357285,Wireless Mouse Ergonomic,291.79,386.81,SKU-8393459,3976,6,SUP-8934,21.77,505x730x197cm,True,2021-02-20
PROD-632784,1052738343587421266,LED Desk Lamp,3116.04,1705.55,SKU-5177914,7136,35,SUP-9246,33.59,3x3x43cm,False,2023-12-26
