order_id,customer_id,shipping_address_id,billing_address_id,order_date,order_time,status,subtotal,tax_amount,shipping_cost,total_amount,payment_method,notes
ORD-8175518,821464,17caec58-2baf-4fef-943b-40322cbc962a,f059cdce-77f5-4395-8d68-f8cee3627445,2023-05-23,22:00:00,DELIVERED,1075.41,479.3,8.42,1773.83,DEBIT_CARD,Contact before delivery
ORD-9827876,735204,7579b8f4-de86-4075-8951-9bd50aa1a594,b7a59067-d10a-4a64-96d0-f7983dbe276c,2024-06-17,14:45:00,PROCESSING,3708.13,412.0,13.56,5547.42,APPLE_PAY,Special handling required
ORD-2704027,687182,483b3118-31a1-4356-b003-227561d06a00,6ba05d66-a494-4bf1-b479-dd587c657694,2023-05-31,09:00:00,SHIPPED,935.01,239.84,23.88,5622.45,CREDIT_CARD,Special handling required
ORD-1467487,127910,bfa2a4e2-15eb-4c9c-9a85-928bd976dc25,eb2dcd0a-06c3-4a20-b2c9-d1bbb9baeb69,2023-06-22,20:10:00,CONFIRMED,9685.88,64.62,12.09,5880.7,CREDIT_CARD,Rush delivery requested
ORD-4995252,189577,beebcd26-ebd5-4562-bcb5-bccf062a3394,3468d1f2-63a3-483e-b86b-3047f77f2981,2023-08-05,20:10:00,DELIVERED,4354.83,173.8,8.66,8368.29,CREDIT_CARD,Special handling required
ORD-5768592,300941,900f1c91-6f54-4e1c-a381-471190b281dd,65f9becf-d3c4-464d-a73b-fc5e1c702fb1,2023-12-04,12:15:00,DELIVERED,7002.01,758.39,4.96,4758.93,CREDIT_CARD,Gift wrapping required
ORD-7764528,461959,bd8872bc-8b3c-4492-9e58-493f852dafcd,160f6343-1e31-48bf-931b-e2baf578c4e1,2024-10-24,09:00:00,SHIPPED,6171.61,429.6,41.0,1439.14,CREDIT_CARD,Business delivery
ORD-6914726,902271,788a451f-a0e7-4e7a-856e-d80368a7b630,466b9318-88a1-4bcf-ad67-f77ea9b4d6cd,2023-12-29,12:15:00,DELIVERED,7982.51,139.49,22.98,9932.46,PAYPAL,Gift wrapping required
ORD-6348317,972141,feb9c27e-d66d-437d-95b5-f8399e9731b1,0ebdecbb-65e8-4e82-853d-5690ad0aacba,2023-08-14,10:30:00,DELIVERED,9099.9,368.58,1.82,3557.3,DEBIT_CARD,Contact before delivery
ORD-7499535,158947,e0aab577-3290-4d74-afdc-bbc863861cca,a51b03a3-a2e0-4322-8330-fef3c4acebc6,2024-06-04,22:00:00,SHIPPED,1242.26,395.86,5.05,3007.27,DEBIT_CARD,Weekend delivery preferred
