line_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
LI-57295007,ORD-1724487,PROD-785127,8,3493.06,354.1,34678.54
LI-93464861,ORD-2714007,PROD-103245,5,3392.29,405.15,45137.27
LI-83411622,ORD-3838857,PROD-388598,4,1441.54,89.05,27852.74
LI-89985682,ORD-3792575,PROD-728662,5,2687.81,143.17,12816.39
LI-83335497,ORD-5157950,PROD-902620,7,2639.2,323.51,37751.39
LI-62972151,ORD-3667312,PROD-392443,10,1668.25,288.52,34681.77
LI-52980257,ORD-2903956,PROD-812726,3,347.77,49.77,13617.01
LI-37860301,ORD-8483224,PROD-469336,6,718.26,374.03,3841.54
LI-41094461,ORD-3267518,PROD-861393,8,3338.21,68.6,8735.87
LI-94416807,ORD-6412263,PROD-933489,5,503.68,353.68,36741.82
LI-28471936,ORD-1651910,PROD-628372,8,1292.31,114.51,34396.08
LI-19722980,ORD-3545356,PROD-852819,8,3492.46,199.2,42127.5
LI-99448288,ORD-1060136,PROD-331910,4,2996.08,1.53,33404.28
LI-32672673,ORD-1649106,PROD-970731,5,176.81,390.64,22414.45
LI-13631666,ORD-9356790,PROD-470586,5,4325.16,249.24,17120.45
LI-46640241,ORD-3457067,PROD-709512,6,1801.62,98.18,19450.64
LI-43042911,ORD-7054967,PROD-516180,6,852.86,357.04,41696.11
LI-84112707,ORD-5886515,PROD-815506,4,1049.9,87.89,42694.28
LI-47964184,ORD-2376302,PROD-740143,9,4978.85,148.31,28664.61
LI-36343365,ORD-4790935,PROD-597909,4,1883.28,45.57,44125.11
LI-20172597,ORD-1869302,PROD-328139,3,2346.21,167.6,49157.97
LI-86155200,ORD-5814014,PROD-315499,9,3328.47,488.83,18663.24
LI-23722233,ORD-8455211,PROD-486264,8,3785.33,104.33,9657.07
LI-33424112,ORD-6769555,PROD-358517,8,1816.77,346.91,36910.37
LI-67639882,ORD-1222293,PROD-605151,10,3222.36,379.8,24270.42
LI-43408014,ORD-1522609,PROD-113996,1,494.68,29.36,40735.7
LI-45103488,ORD-5970251,PROD-160572,3,2754.96,423.42,44256.29
LI-85652518,ORD-7593385,PROD-982914,6,3276.63,240.37,2665.0
LI-69505102,ORD-8664610,PROD-771564,10,4081.5,370.92,5491.63
LI-75339189,ORD-9761288,PROD-171925,6,3524.77,46.99,47304.67
LI-73915940,ORD-5490320,PROD-902850,3,2631.26,34.3,31019.68
LI-79669159,ORD-2965587,PROD-648127,5,3736.6,279.9,26390.14
LI-30543578,ORD-2325332,PROD-194543,2,885.95,471.89,41705.64
LI-17298160,ORD-6610105,PROD-920025,4,613.3,216.77,11710.2
LI-39398569,ORD-1902192,PROD-662845,6,4902.45,454.16,40019.07
LI-11760545,ORD-5541347,PROD-731860,1,622.16,131.49,46996.24
LI-18612091,ORD-1891938,PROD-261383,2,1964.46,405.44,23967.49
LI-47065100,ORD-2353989,PROD-189189,5,708.97,400.43,16324.77
LI-41403438,ORD-4771636,PROD-688016,7,4925.04,254.28,42776.61
LI-83684775,ORD-7523558,PROD-827531,8,140.02,84.11,46563.71
LI-42940266,ORD-4272081,PROD-840891,5,2063.67,247.75,8337.65
